,TITLE,YEAR,AUTHOR,CLASSIFIED_AUTHORS
93,Reconfiguration of Discrete Event Systems using Synchronizing Words,2020,"['LUCAS VINICIUS RIBEIRO ALVES', 'PATRICIA NASCIMENTO PENA']","['LUCAS VINICIUS RIBEIRO ALVES (egresso(s/o))', 'PATRICIA NASCIMENTO PENA (docente)']"
94,Automatic Translation of Blocking Flexible Job Shop Scheduling Problems to Automata Using the Supervisory Control Theory,2020,"['DANIEL SARSUR CAMARA', 'PATRICIA NASCIMENTO PENA', 'RICARDO HIROSHI CALDEIRA TAKAHASHI']","['DANIEL SARSUR CAMARA (egresso(s/o))', 'PATRICIA NASCIMENTO PENA (docente)', 'RICARDO HIROSHI CALDEIRA TAKAHASHI (docente)']"
95,Synchronism Recovery of Discrete Event Systems,2020,"['LUCAS VINICIUS RIBEIRO ALVES', 'PATRICIA NASCIMENTO PENA']","['LUCAS VINICIUS RIBEIRO ALVES (egresso(s/o))', 'PATRICIA NASCIMENTO PENA (docente)']"
96,Planejamento da produção em sistemas de manufatura modelados como Processo de Decisão Markoviano,2020,"['C.  DOS SANTOS, MATHEUS', 'V.  R.  ALVES, LUCAS', 'PATRICIA NASCIMENTO PENA']","['C.  DOS SANTOS, MATHEUS (externo)', 'V.  R.  ALVES, LUCAS (egresso(s/o))', 'PATRICIA NASCIMENTO PENA (docente)']"
97,Tradução Automática de Problemas de Escalonamento Job Shop Flexível com Bloqueio para Autômatos Utilizando a TCS,2020,"['SARSUR C. , DANIEL', 'PATRICIA NASCIMENTO PENA', 'H.  C.  TAKAHASHI, RICARDO']","['SARSUR C. , DANIEL (externo)', 'PATRICIA NASCIMENTO PENA (docente)', 'H.  C.  TAKAHASHI, RICARDO (docente)']"
98,Beyond exploding and  &#09;vanishing gradients: analyzing RNN training using attractors and smoothness,2020,"['ANTONIO HORTA RIBEIRO', 'TIELS, KOEN', 'LUIS ANTONIO AGUIRRE', 'SCHÖN, THOMAS B. ']","['ANTONIO HORTA RIBEIRO (egresso(s/o))', 'TIELS, KOEN (externo)', 'LUIS ANTONIO AGUIRRE (docente)', 'SCHÖN, THOMAS B.  (externo)']"
99,Rede de Instrumentação para Sensoriamento de Temperatura e Vibração de BCSS,2020,"['A.  TOLEDO, JOSE', 'F.  F.  SILVA, LUIZ', 'A.  R.  SILVA, LEONARDO', 'C.  FURTADO, EDGAR', 'P.  BARBOSA, TARSIS', 'LUIS ANTONIO AGUIRRE']","['A.  TOLEDO, JOSE (discente)', 'F.  F.  SILVA, LUIZ (externo)', 'A.  R.  SILVA, LEONARDO (egresso(s/o))', 'C.  FURTADO, EDGAR (externo)', 'P.  BARBOSA, TARSIS (externo)', 'LUIS ANTONIO AGUIRRE (docente)']"
100,A DGTD Method Using Nonconforming Curved Elements to Solve Electromagnetic Scattering by Rounded Boundaries,2020,"['MARLON JESUS LIZARALO URBINA', 'DE SOUZA, FIDEL', 'ELSON JOSE DA SILVA', 'RENATO CARDOSO MESQUITA']","['MARLON JESUS LIZARALO URBINA (egresso(s/o))', 'DE SOUZA, FIDEL (egresso(s/o))', 'ELSON JOSE DA SILVA (docente)', 'RENATO CARDOSO MESQUITA (docente)']"
101,Vector Shape Functions For The Nodal Meshless Method,2020,"['LUILLY ALEJANDRO GARCIA ORTIZ', 'RENATO CARDOSO MESQUITA', 'NAISSES ZOIA LIMA']","['LUILLY ALEJANDRO GARCIA ORTIZ (egresso(s/o))', 'RENATO CARDOSO MESQUITA (docente)', 'NAISSES ZOIA LIMA (egresso(s/o))']"
102,Nearest Neighbors Search Using Multi-GPU,2020,"['VINICIUS SILVA NOGUEIRA', 'AMORIM, LUCAS PANTUZA', 'BARATTA, IGOR', 'GABRIEL FELIPE PAIVA PEREIRA', 'RENATO CARDOSO MESQUITA']","['VINICIUS SILVA NOGUEIRA (externo)', 'AMORIM, LUCAS PANTUZA (egresso(s/o))', 'BARATTA, IGOR (discente(s/o))', 'GABRIEL FELIPE PAIVA PEREIRA (externo)', 'RENATO CARDOSO MESQUITA (docente)']"
